Day	Sunrise	Sunset	Moonrise	Moonset
1/1/2013	10:12	18:00	22:32	11:38
2/1/2013	10:12	18:01	23:43	12:00
3/1/2013	10:11	18:02	None	12:21
4/1/2013	10:11	18:03	00:54	12:43
5/1/2013	10:11	18:05	02:09	13:06
6/1/2013	10:10	18:06	03:24	13:32
7/1/2013	10:10	18:07	04:43	14:04
8/1/2013	10:09	18:09	05:59	14:46
9/1/2013	10:09	18:10	07:13	15:39
10/1/2013	10:08	18:11	08:17	16:42
11/1/2013	10:08	18:13	09:10	17:58
12/1/2013	10:07	18:14	09:54	19:17
13/1/2013	10:06	18:16	10:27	20:39
14/1/2013	10:05	18:17	10:54	21:58
15/1/2013	10:04	18:19	11:18	23:15
16/1/2013	10:03	18:21	11:40	None
17/1/2013	10:03	18:22	12:02	00:27
18/1/2013	10:01	18:24	12:25	01:39
19/1/2013	10:00	18:26	12:49	02:47
20/1/2013	09:59	18:27	13:16	03:53
21/1/2013	09:58	18:29	13:47	04:56
22/1/2013	09:57	18:31	14:26	05:54
23/1/2013	09:56	18:33	15:11	06:48
24/1/2013	09:54	18:34	16:03	07:35
25/1/2013	09:53	18:36	17:01	08:15
26/1/2013	09:52	18:38	18:06	08:49
27/1/2013	09:50	18:40	19:12	09:19
28/1/2013	09:49	18:42	20:22	09:44
29/1/2013	09:47	18:43	21:32	10:07
30/1/2013	09:46	18:45	22:45	10:29
31/1/2013	09:44	18:47	23:58	10:50
1/2/2013	09:43	18:49	None	11:12
2/2/2013	09:41	18:51	01:12	11:37
3/2/2013	09:40	18:53	02:29	12:08
4/2/2013	09:38	18:55	03:43	12:44
5/2/2013	09:36	18:56	04:57	13:29
6/2/2013	09:34	18:58	06:02	14:26
7/2/2013	09:33	19:00	06:59	15:35
8/2/2013	09:31	19:02	07:45	16:49
9/2/2013	09:29	19:04	08:22	18:10
10/2/2013	09:27	19:06	08:53	19:29
11/2/2013	09:25	19:08	09:19	20:48
12/2/2013	09:23	19:10	09:43	22:03
13/2/2013	09:21	19:11	10:06	23:18
14/2/2013	09:19	19:13	10:28	None
15/2/2013	09:18	19:15	10:51	00:27
16/2/2013	09:16	19:17	11:17	01:36
17/2/2013	09:14	19:19	11:48	02:41
18/2/2013	09:11	19:21	12:25	03:42
19/2/2013	09:09	19:23	13:07	04:39
20/2/2013	09:07	19:25	13:55	05:27
21/2/2013	09:05	19:26	14:51	06:10
22/2/2013	09:03	19:28	15:52	06:48
23/2/2013	09:01	19:30	16:58	07:19
24/2/2013	08:59	19:32	18:07	07:47
25/2/2013	08:57	19:34	19:17	08:10
26/2/2013	08:55	19:36	20:31	08:33
27/2/2013	08:52	19:38	21:44	08:55
28/2/2013	08:50	19:39	23:01	09:18
1/3/2013	08:48	19:41	None	09:44
2/3/2013	08:46	19:43	00:17	10:13
3/3/2013	08:44	19:45	01:33	10:47
4/3/2013	08:41	19:47	02:46	11:29
5/3/2013	08:39	19:48	03:53	12:22
6/3/2013	08:37	19:50	04:52	13:24
7/3/2013	08:35	19:52	05:40	14:34
8/3/2013	08:32	19:54	06:20	15:50
9/3/2013	08:30	19:56	06:53	17:07
10/3/2013	08:28	19:57	07:20	18:25
11/3/2013	08:25	19:59	07:45	19:40
12/3/2013	08:23	20:01	08:07	20:55
13/3/2013	08:21	20:03	08:29	22:06
14/3/2013	08:18	20:05	08:53	23:18
15/3/2013	08:16	20:06	09:19	None
16/3/2013	08:14	20:08	09:49	00:24
17/3/2013	08:11	20:10	10:23	01:28
18/3/2013	08:09	20:12	11:01	02:27
19/3/2013	08:07	20:13	11:48	03:18
20/3/2013	08:04	20:15	12:41	04:04
21/3/2013	08:02	20:17	13:39	04:44
22/3/2013	08:00	20:19	14:42	05:17
23/3/2013	07:57	20:20	15:49	05:45
24/3/2013	07:55	20:22	16:58	06:11
25/3/2013	07:53	20:24	18:11	06:35
26/3/2013	07:50	20:26	19:24	06:58
27/3/2013	07:48	20:27	20:41	07:21
28/3/2013	07:46	20:29	21:58	07:46
29/3/2013	07:43	20:31	23:18	08:13
30/3/2013	07:41	20:32	None	08:47
31/3/2013	07:39	20:34	00:33	09:29
1/4/2013	07:36	20:36	01:45	10:19
2/4/2013	07:34	20:38	02:46	11:18
3/4/2013	07:32	20:39	03:38	12:27
4/4/2013	07:29	20:41	04:20	13:39
5/4/2013	07:27	20:43	04:55	14:56
6/4/2013	07:25	20:45	05:22	16:10
7/4/2013	07:23	20:46	05:47	17:25
8/4/2013	07:20	20:48	06:10	18:38
9/4/2013	07:18	20:50	06:33	19:50
10/4/2013	07:16	20:51	06:56	21:01
11/4/2013	07:13	20:53	07:21	22:08
12/4/2013	07:11	20:55	07:49	23:14
13/4/2013	07:09	20:57	08:20	None
14/4/2013	07:07	20:58	08:58	00:14
15/4/2013	07:05	21:00	09:42	01:09
16/4/2013	07:02	21:02	10:32	01:58
17/4/2013	07:00	21:04	11:27	02:39
18/4/2013	06:58	21:05	12:29	03:14
19/4/2013	06:56	21:07	13:32	03:45
20/4/2013	06:54	21:09	14:39	04:12
21/4/2013	06:51	21:10	15:49	04:36
22/4/2013	06:49	21:12	17:00	04:59
23/4/2013	06:47	21:14	18:16	05:21
24/4/2013	06:45	21:16	19:32	05:44
25/4/2013	06:43	21:17	20:53	06:11
26/4/2013	06:41	21:19	22:11	06:43
27/4/2013	06:39	21:21	23:28	07:22
28/4/2013	06:37	21:23	None	08:10
29/4/2013	06:35	21:24	00:35	09:08
30/4/2013	06:33	21:26	01:33	10:16

