+---------+---------+---------+---------+---------+---------+---------+,,,,,,,,,,,,,,
,1,2,3,,,,,,,,,,,
,SR:,8:42,SR:,8:41,SR:,8:39,,,,,,,,
,SS:,17:50,SS:,17:52,SS:,17:54,,,,,,,,
,MR:,18:53,MR:,20:13,MR:,21:31,,,,,,,,
,MS:,9:05,MS:,9:40,MS:,10:09,,,,,,,,
,,,,,,,,,,,,,,
+---------+---------+---------+---------+---------+---------+---------+,,,,,,,,,,,,,,
,4,5,6,7,8,9,10,,,,,,,
,SR:,8:37,SR:,8:36,SR:,8:34,SR:,8:32,SR:,8:31,SR:,8:29,SR:,8:27
,SS:,17:56,SS:,17:58,SS:,18:00,SS:,18:01,SS:,18:03,SS:,18:05,SS:,18:07
,MR:,22:46,MR:,23:58,MR:,None,MR:,1:08,MR:,2:15,MR:,3:19,MR:,4:20
,MS:,10:34,MS:,10:58,MS:,11:21,MS:,11:45,MS:,12:12,MS:,12:41,MS:,13:15
,,,,,,,,,,,,,,
+---------+---------+---------+---------+---------+---------+---------+,,,,,,,,,,,,,,
,11,12,13,14,15,16,17,,,,,,,
,SR:,8:25,SR:,8:23,SR:,8:22,SR:,8:20,SR:,8:18,SR:,8:16,SR:,8:14
,SS:,18:09,SS:,18:11,SS:,18:12,SS:,18:14,SS:,18:16,SS:,18:18,SS:,18:20
,MR:,5:16,MR:,6:07,MR:,6:53,MR:,7:32,MR:,8:05,MR:,8:34,MR:,9:00
,MS:,13:56,MS:,14:42,MS:,15:35,MS:,16:34,MS:,17:37,MS:,18:43,MS:,19:50
,NM:,5:07,,,,,,,,,,,,
,,,,,,,,,,,,,,
+---------+---------+---------+---------+---------+---------+---------+,,,,,,,,,,,,,,
,18,19,20,21,22,23,24,,,,,,,
,SR:,8:12,SR:,8:10,SR:,8:08,SR:,8:06,SR:,8:04,SR:,8:02,SR:,8:00
,SS:,18:22,SS:,18:24,SS:,18:25,SS:,18:27,SS:,18:29,SS:,18:31,SS:,18:33
,MR:,9:23,MR:,9:46,MR:,10:09,MR:,10:33,MR:,11:00,MR:,11:32,MR:,12:12
,MS:,20:59,MS:,22:10,MS:,23:21,MS:,None,MS:,0:34,MS:,1:48,MS:,3:02
,,,,,,,,,,,,,,
+---------+---------+---------+---------+---------+---------+---------+,,,,,,,,,,,,,,
,25,26,27,28,,,,,,,,,,
,SR:,7:57,SR:,7:55,SR:,7:53,SR:,7:51,,,,,,
,SS:,18:35,SS:,18:36,SS:,18:38,SS:,18:40,,,,,,
,MR:,13:00,MR:,13:59,MR:,15:08,MR:,16:24,,,,,,
,MS:,4:12,MS:,5:16,MS:,6:11,MS:,6:57,,,,,,
,,,,,,,,,,,,,,
+---------+---------+---------+---------+---------+---------+---------+,,,,,,,,,,,,,,
